player_id,position,team_id,first_name,last_name,height_feet,height_inches,weight_pounds
421,'G',3,'Dennis','Smith Jr.',6,3,205
434,'F',2,'Jayson','Tatum',6,8,210
436,'G-F',28,'Garrett','Temple',6,5,195
439,'F',13,'Daniel','Theis',6,8,245
440,'G',24,'Isaiah','Thomas',5,9,185
443,'G',10,'Klay','Thompson',6,6,220
444,'C-F',6,'Tristan','Thompson',6,9,254
447,'C',18,'Karl-Anthony','Towns',7,0,248
450,'F',13,'PJ','Tucker',6,5,245
452,'C-F',12,'Myles','Turner',6,11,250
455,'C',19,'Jonas','Valanciunas',6,11,265
457,'F',14,'Jarred','Vanderbilt',6,8,214
458,'G',11,'Fred','VanVleet',6,0,197
460,'C',5,'Nikola','Vucevic',6,10,260
462,'C',22,'Moritz','Wagner',6,11,245
464,'G',3,'Lonnie','Walker IV',6,4,204
469,'F',18,'T.J.','Warren',6,8,220
470,'G',15,'Yuta','Watanabe',6,9,215
472,'G',13,'Russell','Westbrook',6,4,200
473,'G',2,'Derrick','White',6,4,190
475,'F-G',10,'Andrew','Wiggins',6,7,197
476,'C-F',25,'Robert','Williams III',6,9,249
480,'G-F',21,'Kenrich','Williams',6,6,210
486,'F',14,'Christian','Wood',6,8,214
487,'G',16,'Delon','Wright',6,5,185
489,'F',24,'Thaddeus','Young',6,8,225
490,'G',1,'Trae','Young',6,1,164
491,'C',19,'Cody','Zeller',6,11,240
493,'C',13,'Ivica','Zubac',7,0,240
2148,NULL,17,'Thanasis','Antetokounmpo',6,7,219
2189,NULL,10,'Gary','Payton II',6,2,195
3089,NULL,28,'Gary','Trent Jr.',6,5,204
3092,NULL,16,'Haywood','Highsmith',6,5,220
666400,'G',18,'Nickeil','Alexander-Walker',6,5,205
666423,'F-G',28,'RJ','Barrett',6,6,214
666429,'F',29,'Darius','Bazley',6,9,216
666442,'C',22,'Goga','Bitadze',6,10,250
666451,'C',24,'Bol','Bol',7,3,220
666453,'C',4,'Marques','Bolden',6,10,249
666468,'F',2,'Oshae','Brissett',6,7,210
666474,'G',20,'Charles','Brown',6,6,199
666476,'C',25,'Moses','Brown',7,2,258
666489,'F',8,'Vlatko','Cancar',6,8,236
666505,'F',15,'Brandon','Clarke',6,8,215
666508,'F-C',3,'Nicolas','Claxton',6,11,215
666511,'G',13,'Amir','Coffey',6,7,210
666541,'G',21,'Luguentz','Dort',6,4,220
666564,'F',1,'Bruno','Fernando',6,9,240
666577,'F',7,'Daniel','Gafford',6,10,234
666581,'G',6,'Darius','Garland',6,1,192
666609,'F',14,'Rui','Hachimura',6,8,230
666626,'C',14,'Jaxson','Hayes',7,0,220
666633,'G',16,'Tyler','Herro',6,5,195
666650,'G',29,'Talen','Horton-Tucker',6,4,234
666656,'F',1,'De''Andre','Hunter',6,8,221
666675,'F',20,'DaQuan','Jeffries',6,5,222
666676,'G',6,'Ty','Jerome',6,5,195
666679,'F',3,'Cameron','Johnson',6,8,210
666682,'F',27,'Keldon','Johnson',6,5,220
666703,'G-F',15,'John','Konchar',6,5,210
666729,'F',24,'Nassir','Little',6,6,220
666743,'G',13,'Terance','Mann',6,5,215
666747,'F',16,'Caleb','Martin',6,5,205
666748,'F',4,'Cody','Martin',6,6,205
666754,'G',1,'Garrison','Mathews',6,6,215
666762,'F',28,'Jalen','McDaniels',6,9,190
666767,'G',18,'Jordan','McLaughlin',6,0,185
666786,'G',15,'Ja','Morant',6,2,174
666818,'F',22,'Chuma','Okeke',6,7,229
666848,'G',30,'Jordan','Poole',6,4,194
666860,'F-G',14,'Cameron','Reddish',6,7,217
666881,'F',29,'Luka','Samanic',6,10,227
666885,'F',22,'Admiral','Schofield',6,5,241
666908,'G',6,'Max','Strus',6,5,215
666923,'G-F',25,'Matisse','Thybulle',6,5,201
666940,'F',6,'Dean','Wade',6,9,228
666950,'F',7,'P.J.','Washington',6,7,230
666956,'G',5,'Coby','White',6,5,195
666965,'F',4,'Grant','Williams',6,6,236
666969,'F',19,'Zion','Williamson',6,6,284
666971,'G-F',1,'Dylan','Windler',6,7,196
667378,'F-C',18,'Naz','Reid',6,9,264
1603383,'G',14,'Gabe','Vincent',6,2,200
2309958,'C-F',28,'Jontay','Porter',6,10,240
3547095,'C-F',24,'Udoka','Azubuike',6,11,270
3547163,'F',20,'Mamadi','Diakite',6,9,228
3547207,'F',28,'Jordan','Nwora',6,8,225
3547238,'G',18,'Anthony','Edwards',6,4,225
3547239,'G',4,'LaMelo','Ball',6,7,180
3547240,'C',9,'James','Wiseman',6,11,240
3547242,'F',30,'Deni','Avdija',6,9,210
3547243,'F',12,'Obi','Toppin',6,9,220
3547244,'F-C',1,'Onyeka','Okongwu',6,10,240
3547245,'G',12,'Tyrese','Haliburton',6,5,185
3547246,'G-F',27,'Devin','Vassell',6,5,200
3547247,'F-G',6,'Isaac','Okoro',6,5,225
3547248,'F',5,'Patrick','Williams',6,7,215
3547249,'F',20,'Precious','Achiuwa',6,8,243
3547250,'G-F',12,'Aaron','Nesmith',6,6,215
3547251,'G',22,'Cole','Anthony',6,2,185
3547254,'G',23,'Tyrese','Maxey',6,2,200
3547256,'F',1,'Saddiq','Bey',6,7,215
3547258,'G',7,'Josh','Green',6,5,200
3547259,'F',18,'Jaden','McDaniels',6,9,185
3547260,'G',29,'Kira','Lewis Jr.',6,1,170
3547262,'G',28,'Jahmi''us','Ramsey',6,3,190
3547264,'F-C',12,'Jalen','Smith',6,9,215
3547267,'F-C',9,'Isaiah','Stewart',6,8,250
3547268,'F-C',8,'Zeke','Nnaji',6,9,240
3547269,'G',28,'Immanuel','Quickley',6,2,190
3547270,'F',23,'Paul','Reed',6,9,210
3547271,'C',4,'Aleksej','Pokusevski',7,0,210
3547272,'G',21,'Isaiah','Joe',6,3,165
3547274,'G',27,'Tre','Jones',6,1,185
3547275,'G',9,'Malachi','Flynn',6,1,185
3547276,'G',2,'Payton','Pritchard',6,1,195
3547278,'G-F',25,'Ashton','Hagans',6,3,190
3547279,'F',15,'Lamar','Stevens',6,7,230
3547281,'G-F',11,'Nate','Hinton',6,5,210
3547282,'C',4,'Nick','Richards',7,0,245
3547285,'F',2,'Xavier','Tillman',6,7,245
3547287,'G',15,'Desmond','Bane',6,5,215
3547289,'G',14,'Skylar','Mays',6,3,205
3547291,'G',26,'Mason','Jones',6,4,200
3547293,'F',19,'Naji','Marshall',6,6,220
3547294,'F',23,'Kenyon','Martin Jr.',6,6,215
3547297,'G',1,'Trent','Forrest',6,4,210
3547298,'G',24,'Saben','Lee',6,2,183
3547299,'G',6,'Sam','Merrill',6,4,205
3547301,'F',11,'Jae''Sean','Tate',6,4,230
3547302,'F',30,'Anthony','Gill',6,8,230
4197029,'G',4,'Vasilije','Micic',6,3,188
4197162,'F',26,'Aleksandar','Vezenkov',6,8,225
4197387,'G',1,'Vit','Krejci',6,8,195
11891374,'C',29,'Omer','Yurtseven',6,11,275
17553967,'C',2,'Neemias','Queta',7,0,248
17553979,'F',10,'Jonathan','Kuminga',6,7,225
17553983,'G',22,'Trevelin','Queen',6,5,190
17553988,'G',23,'Jeff','Dowtin',6,3,177
17553992,'G',10,'Moses','Moody',6,5,211
17553994,'G',26,'Davion','Mitchell',6,0,202
17553995,'G',14,'Austin','Reaves',6,5,197
17554002,'G',15,'DeJon','Jarreau',6,5,185
17554004,'G',7,'AJ','Lawson',6,6,179
17895854,'G',27,'Charles','Bassey',6,10,230
17895858,'G',9,'Quentin','Grimes',6,5,210
17895966,'G',11,'Jalen','Green',6,4,186
17895968,'F',18,'Daishen','Nix',6,3,226
17895983,'G',5,'Ayo','Dosunmu',6,5,200
17895990,'G',26,'Jordan','Ford',6,1,175
17896007,'G',8,'Braxton','Key',6,8,225
17896017,'F',19,'Matt','Ryan',6,6,215
17896021,'F',19,'Jeremiah','Robinson-Earl',6,8,240
17896022,'G',13,'Brandon','Boston Jr.',6,6,188
17896024,'F',19,'Herbert','Jones',6,7,206
17896025,'G',2,'Jaden','Springer',6,4,202
17896026,'F',22,'Franz','Wagner',6,10,220
17896027,'G-F',15,'Ziaire','Williams',6,9,185
17896028,'F',7,'Greg','Brown III',6,7,206
17896030,'G',26,'Chris','Duarte',6,5,190
17896031,'G',13,'Nah''Shon','Hyland',6,2,169
17896032,'F-C',23,'Kai','Jones',6,11,221
17896033,'G',20,'Miles','McBride',6,1,195
17896035,'F',12,'Isaiah','Jackson',6,9,205
17896036,'G',4,'Tre','Mann',6,3,178
17896038,'C',3,'Day''Ron','Sharpe',6,9,265
17896039,'F',30,'Justin','Champagnie',6,6,206
17896040,'F',1,'Jalen','Johnson',6,8,219
17896041,'G',3,'Keon','Johnson',6,5,185
17896042,'G',29,'Jason','Preston',6,3,181
17896044,'F',26,'Kessler','Edwards',6,7,203
17896045,'F',30,'Corey','Kispert',6,6,224
17896048,'G',3,'Cam','Thomas',6,3,210
17896049,'G',27,'David','Duke Jr.',6,4,204
17896051,'G',13,'Joshua','Primo',6,4,189
17896052,'F',27,'RaiQuan','Gray',6,7,269
17896055,'G-F',28,'Scottie','Barnes',6,7,237
17896056,'C',18,'Luka','Garza',6,10,243
17896058,'F',3,'Trendon','Watford',6,8,237
17896059,'F',27,'Sandro','Mamukelashvili',6,9,240
17896060,'F',2,'Sam','Hauser',6,7,217
17896062,'F-C',11,'Alperen','Sengun',6,11,243
17896063,'F',20,'Jericho','Sims',6,10,250
17896065,'G',21,'Josh','Giddey',6,8,216
17896067,'F',15,'Santi','Aldama',7,0,215
17896070,'F',10,'Usman','Garuba',6,8,229
17896071,'F',30,'Isaiah','Livers',6,6,232
17896073,'G',22,'Jalen','Suggs',6,5,205
17896075,'G-F',9,'Cade','Cunningham',6,6,220
17896076,'F-C',6,'Evan','Mobley',6,11,215
17896078,'G',21,'Aaron','Wiggins',6,5,190
17896089,'G',20,'Duane','Washington Jr.',6,2,197
17896091,'G',28,'D.J.','Carton',6,3,200
17896094,'G',25,'Dalano','Banton',6,8,204
17896097,'G',19,'Jose','Alvarado',6,0,179
17896103,'F-C',8,'Jay','Huff',7,1,240
17896106,'F',30,'Eugene','Omoruyi',6,6,235
17896116,'G',5,'Terry','Taylor',6,4,230
17896120,'F',24,'Ish','Wainright',6,5,250
18677954,'G',30,'Jared','Butler',6,3,193
18677986,'F',19,'Trey','Murphy III',6,8,206
18678001,'F',4,'JT','Thor',6,9,203
18678058,NULL,15,'Jordan','Goodwin',6,4,200
19465326,'C',11,'Jock','Landale',6,11,255
19465584,'F',29,'Micah','Potter',6,9,248
24102469,'F',19,'Malcolm','Hill',6,6,220
24417679,'G',13,'Xavier','Moon',6,0,165
24489167,'G',7,'Brandon','Williams',6,1,190
24572055,'C',21,'Olivier','Sarr',6,10,240
27924547,'F',21,'Lindy','Waters III',6,6,210
38017507,'G-F',12,'Andrew','Nembhard',6,4,191
38017607,'G',22,'Kevon','Harris',6,5,216
38017620,'G',28,'Ochai','Agbaji',6,5,215
38017630,'G',29,'Johnny','Juzang',6,5,209
38017649,'F',27,'Julian','Champagnie',6,7,217
38017656,'G',15,'Scotty','Pippen Jr.',6,1,170
38017662,'F',6,'Isaiah','Mobley',6,8,238
38017663,'F',19,'E.J.','Liddell',6,6,240
38017676,'F',17,'MarJon','Beauchamp',6,7,199
38017677,'G',19,'Dyson','Daniels',6,7,199
38017679,'G',7,'Jaden','Hardy',6,3,198
38017682,'G',9,'Jaden','Ivey',6,4,195
38017683,'F',22,'Paolo','Banchero',6,10,250
38017684,'F',11,'Jabari','Smith Jr.',6,11,220
38017685,'C-F',21,'Chet','Holmgren',7,1,208
38017686,'G-F',12,'Bennedict','Mathurin',6,5,210
