box_score_id,game_id,player_id,team_id,pts,reb,ast,blk,stl,turnover,oreb,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,pf
14478518,1038452,185,10,6,13,5,2,1,3,2,11,0,0,0,'0.25',4,1,1,4,4,28,2
14478519,1038452,443,10,14,6,1,0,3,2,1,5,'0.444',9,4,'0.385',13,5,NULL,0,0,30,2
14478520,1038452,115,10,25,6,6,0,0,4,2,4,'0.4666667',15,7,'0.4090909',22,9,0,0,0,30,2
14478521,1038452,45658838,10,6,4,1,0,0,0,1,3,'0.2',5,1,'0.3333333',6,2,'0.5',2,1,22,0
14478522,1038452,56677799,10,9,4,0,0,0,0,2,2,NULL,0,0,'0.75',4,3,'0.75',4,3,16,3
14478523,1038452,282,10,0,4,2,1,1,1,1,3,0,0,0,0,1,0,0,2,0,10,1
14478524,1038452,367,10,13,4,5,0,2,0,0,4,'0.5',6,3,'0.5',10,5,NULL,0,0,24,2
14478525,1038452,2189,10,4,4,1,0,1,0,3,1,0,1,0,'0.5',4,2,0,0,0,14,0
14478526,1038452,398,10,0,0,0,0,0,0,0,0,NULL,0,0,NULL,0,0,NULL,0,0,1,0
14478527,1038452,407,10,2,0,2,0,0,1,0,0,0,1,0,'0.5',2,1,0,0,0,06,0
14478528,1038452,17896070,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478529,1038452,56677858,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478530,1038452,57875092,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478531,1038452,795959473,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478532,1038452,475,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478533,1038451,70,2,25,7,5,0,1,0,1,6,'0.4',5,2,'0.55',20,11,1,1,1,31,3
14478534,1038451,434,2,32,8,3,0,0,4,0,8,'0.5555556',9,5,'0.5263158',19,10,1,7,7,37,2
14478535,1038451,378,2,24,6,2,1,0,0,3,3,'0.5',8,4,'0.5714286',14,8,1,4,4,29,2
14478536,1038451,473,2,13,7,8,2,1,2,1,6,'0.5',6,3,'0.5',10,5,0,0,0,32,2
14478537,1038451,214,2,11,2,7,1,2,0,0,2,1,3,3,'0.6666667',6,4,0,0,0,27,1
14478538,1038451,666468,2,3,0,0,1,0,0,0,0,NULL,0,0,'0.5',2,1,1,1,1,4,0
14478539,1038451,17896060,2,0,4,1,0,0,0,0,4,0,3,0,0,3,0,NULL,0,0,15,1
14478540,1038451,219,2,12,8,3,2,0,1,1,7,'0.4',5,2,'0.625',8,5,0,0,0,28,1
14478541,1038451,261,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478542,1038451,338,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,02,0
14478543,1038451,3547276,2,10,2,1,0,0,1,1,1,'0.5',4,2,'0.571',7,4,NULL,0,0,16,2
14478544,1038451,17896025,2,2,1,0,0,0,0,1,0,0,0,0,'0.5',2,1,0,0,0,01,0
14478545,1038451,3547285,2,6,1,2,1,0,0,0,1,0,0,0,1,3,3,0,0,0,15,1
14478546,1038451,38017707,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478547,1038451,64270311,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478548,1038451,17553967,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478549,1038451,56677864,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478550,1038451,3547258,7,2,3,2,0,0,0,1,2,0,2,0,'0.2',5,1,NULL,0,0,28,2
14478551,1038451,666950,7,17,7,0,1,0,0,2,5,'0.3333333',9,3,'0.4375',16,7,0,0,0,35,2
14478552,1038451,56677840,7,15,4,1,1,2,0,2,2,0,0,0,1,7,7,'0.5',2,1,23,0
14478553,1038451,228,7,19,4,2,0,0,1,2,2,'0.1428571',7,1,'0.3913043',23,9,0,0,0,37,1
14478554,1038451,132,7,37,12,11,0,0,2,3,9,'0.3333333',9,3,'0.56',25,14,'0.75',8,6,37,3
14478555,1038451,151,7,4,2,1,0,0,0,0,2,0,1,0,'0.2',5,1,1,2,2,15,1
14478556,1038451,666577,7,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,06,0
14478557,1038451,191,7,10,5,0,0,0,1,0,5,'0.5',4,2,'0.5',6,3,1,2,2,20,1
14478558,1038451,38017679,7,2,0,0,0,0,1,0,0,0,1,0,'0.333',3,1,NULL,0,0,4,0
14478559,1038451,247,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,'0.5',2,1,06,0
14478560,1038451,257,7,1,2,2,0,0,1,0,2,0,1,0,0,1,0,'0.5',2,1,20,1
14478561,1038451,329,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478562,1038451,379,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0
14478563,1038451,56677859,7,2,1,0,0,1,0,0,1,0,0,0,'0.5',2,1,0,0,0,02,0
14478564,1038451,17896028,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478565,1038451,17554004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478566,1038451,24489167,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478944,1038455,227,19,34,8,6,0,1,2,1,7,'0.5',2,1,'0.619',21,13,'0.778',9,7,30,3
14478945,1038455,666969,19,8,3,7,0,0,5,1,2,0,0,0,'0.5',6,3,'0.5',4,2,21,0
14478946,1038455,455,19,15,9,3,2,0,4,3,6,1,1,1,'0.6363636',11,7,0,0,0,26,2
14478947,1038455,17896024,19,6,1,1,0,2,0,0,1,0,0,0,'0.75',4,3,0,0,0,26,2
14478948,1038455,303,19,14,4,1,2,2,0,0,4,'0.5714286',7,4,'0.4545455',11,5,0,0,0,25,2
14478949,1038455,17896097,19,9,3,2,0,1,2,0,3,'0.25',4,1,'0.5714286',7,4,0,0,0,24,2
14478950,1038455,56677837,19,6,1,0,0,0,0,1,0,'0.6666667',3,2,'0.6666667',3,2,0,0,0,06,0
