'box_score_id','game_id','player_id','reb','ast','blk','stl','turnover','oreb','dreb','fg3_pct','fg3a','fg3m','fg_pct','fga','fgm','ft_pct','fta','ftm','min','pf'
14431507,1038365,38017676,17,8,2,0,0,1,2,1,1,'0.5',2,1,'0.5',4,2,'0.75',4,3,08,1
14431508,1038365,45,17,3,2,2,0,1,2,0,2,1,1,1,'0.3333333',3,1,0,0,0,13,1
14431509,1038365,105,17,0,6,3,0,1,1,0,6,0,1,0,0,2,0,0,0,0,24,3
14431510,1038365,38017733,17,4,3,0,1,1,1,0,3,'0.1666667',6,1,'0.1428571',7,1,1,1,1,15,0
14431511,1038365,56677852,17,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,08,0
14431512,1038365,56677854,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431513,1038365,377,17,16,4,2,0,0,0,1,3,'0.4',5,2,'0.5',12,6,1,2,2,25,2
14431514,1038365,38017691,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,04,0
14431515,1038365,315,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431516,1038365,666747,16,2,1,2,1,0,1,0,1,0,2,0,'0.3333333',3,1,0,0,0,25,2
14431517,1038365,38017696,16,24,7,3,0,1,0,0,7,'0.625',8,5,'0.6153846',13,8,'0.75',4,3,31,1
14431518,1038365,4,16,16,12,11,0,2,3,5,7,0,0,0,'0.5714286',14,8,0,0,0,31,2
14431519,1038365,397,16,23,3,5,1,2,0,0,3,'0.75',8,6,'0.6666667',12,8,1,1,1,26,1
14431520,1038365,666633,16,19,3,5,0,0,1,0,3,'0.375',8,3,'0.4375',16,7,1,2,2,30,0
14431521,1038365,74,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431522,1038365,38017734,16,2,2,0,0,0,0,1,1,0,0,0,0,1,0,1,2,2,06,1
14431523,1038365,3092,16,2,4,0,1,2,0,0,4,0,2,0,'0.25',4,1,0,0,0,23,1
14431524,1038365,56677785,16,12,3,4,0,0,3,1,2,0,2,0,'0.4166667',12,5,'0.6666667',3,2,28,3
14431525,1038365,285,16,19,8,3,0,2,1,0,8,'0.7142857',7,5,'0.75',8,6,'0.5',4,2,23,2
14431526,1038365,39398582,16,2,2,0,0,1,1,0,2,0,0,0,1,1,1,0,0,0,05,0
14431527,1038365,38017736,16,2,1,1,0,0,3,0,1,0,2,0,0,2,0,1,2,2,06,0
14431528,1038365,38017723,16,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,06,0
14431529,1038365,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431530,1038365,391,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431531,1038365,403,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14431532,1038365,19465585,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432782,1038366,8,24,19,4,4,1,0,2,1,3,'0.4',5,2,'0.7',10,7,1,3,3,39,3
14432783,1038366,140,24,28,11,4,0,1,3,2,9,'0.4',5,2,'0.647',17,11,'0.667',6,4,38,2
14432784,1038366,349,24,9,9,2,2,2,1,2,7,NULL,0,0,'0.5',6,3,'0.75',4,3,25,3
14432785,1038366,37,24,5,1,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0,05,0
14432786,1038366,57,24,25,3,9,0,3,3,1,2,0,2,0,'0.412',17,7,'0.846',13,11,38,3
14432787,1038366,666451,24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,02,0
14432788,1038366,147,24,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,06,0
14432789,1038366,178,24,23,3,3,1,0,0,0,3,'0.4444444',9,4,'0.4705882',17,8,1,3,3,27,1
14432790,1038366,666729,24,3,2,0,1,0,1,0,2,'0.5',2,1,'0.3333333',3,1,0,0,0,10,0
14432791,1038366,3547253,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432792,1038366,351,24,9,4,5,1,4,0,0,4,'0.4',5,2,'0.429',7,3,'0.333',3,1,30,4
14432793,1038366,356,24,7,2,1,0,1,2,1,1,1,1,1,'0.25',4,1,1,4,4,19,0
14432794,1038366,38017729,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432795,1038366,3547095,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432796,1038366,272,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432797,1038366,3547298,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432798,1038366,38017688,26,6,5,1,1,1,0,0,5,0,2,0,'0.333',9,3,NULL,0,0,34,5
14432799,1038366,30,26,9,5,0,0,0,0,1,4,'0.25',4,1,'0.5',8,4,NULL,0,0,37,3
14432800,1038366,406,26,35,18,12,3,1,1,9,9,0,2,0,'0.636',22,14,'0.875',8,7,39,4
14432801,1038366,221,26,10,3,1,1,1,1,0,3,'0.6666667',3,2,'0.6666667',6,4,0,0,0,24,2
14432802,1038366,161,26,40,9,6,0,3,6,4,5,'0.417',12,5,'0.452',31,14,'0.7',10,7,40,4
14432803,1038366,17896030,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432804,1038366,17896044,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02,2
14432805,1038366,38017714,26,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,07,2
14432806,1038366,56677845,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432807,1038366,273,26,0,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,07,1
14432808,1038366,290,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432809,1038366,306,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432810,1038366,17553994,26,3,0,1,0,0,0,0,0,'0.3333333',3,1,'0.3333333',3,1,0,2,0,17,2
14432811,1038366,324,26,22,4,6,1,1,5,0,4,0,5,0,'0.563',16,9,1,4,4,33,2
14432812,1038366,17895990,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432813,1038366,3547291,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432814,1038366,56677862,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432815,1038366,4197162,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432848,1038367,182,25,12,1,4,0,1,3,1,0,'0.286',7,2,'0.294',17,5,NULL,0,0,35,3
14432849,1038367,56677850,25,14,4,2,0,0,2,1,3,1,2,2,'0.714',7,5,1,2,2,22,4
14432850,1038367,22,25,22,16,1,0,0,0,2,14,NULL,0,0,'0.917',12,11,NULL,0,0,32,1
14432851,1038367,666923,25,0,2,1,0,1,1,1,1,0,3,0,0,5,0,NULL,0,0,19,2
14432852,1038367,419,25,20,3,5,0,1,3,0,3,'0.4',10,4,'0.316',19,6,1,4,4,32,4
14432853,1038367,39613724,25,1,1,1,0,0,0,0,1,NULL,0,0,NULL,0,0,'0.5',2,1,4,2
14432854,1038367,17896094,25,16,5,3,0,1,4,1,4,'0.5',2,1,'0.5',8,4,'0.7',10,7,26,2
14432855,1038367,3547278,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0
14432856,1038367,56677747,25,14,1,9,0,0,2,0,1,'0.5',2,1,'0.444',9,4,1,5,5,34,4
14432857,1038367,56677791,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02,0
14432858,1038367,56783340,25,6,3,0,1,1,0,3,0,'0.333',3,1,'0.4',5,2,'0.5',2,1,13,3
14432859,1038367,38017711,25,4,7,0,0,0,1,3,4,NULL,0,0,'0.4',5,2,NULL,0,0,17,4
14432860,1038367,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432861,1038367,666476,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432862,1038367,47957121,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432863,1038367,56677829,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14432864,1038367,38017690,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
